"word","polarity","strength","sense","written_form","part_of_speech","confidence","lemgram","lemgram_frequency","lemma_frequency","example"
"segerglad","pos",2,"segerglad..1","['segerglad']","av","1.0","segerglad..av.1",1,4,"Thure Peterson hade likt Eklund varit starkt kritisk till unionsupplösningen 1905 246 Han menade nu att kyrkan på ett nytt sätt framträtt med en ny ungdomlig spänst och segerglad frimodighet ” samt utvecklar just i våra dagar en den framgångsrikaste verksamhet , som förvisso förorsakar alla bibelns och kyrkans motståndare mycken oro ... Kyrkan , Kristi kyrka , skall lefva ."
"ge sig","pos",2,,,"vbm","0.25","ge_sig..vbm.1",66631,"None","['jag..pn.1', 'veta..vb.1', 'inte..ab.1', 'vara..vb.1', 'vi..pn.1', 'ha..vb.1', 'vi..pn.1', 'tvättstuga..nn.1', 'skola..vb.2', 'behöva..vb.1', 'tvätta..vb.1', 'matta..nn.1', 'så..kn.1', '..', 'haha..in.1', 'kanske..ab.1', 'skola..vb.2', 'snoka..vb.1', 'i..pp.1', 'kvarter..nn.1', 'ge_sig..vbm.1', 'du..pn.1', 'en..al.1', 'styrkekram', 'ge_sig..vbm.1', 'jag..pn.1', 'stryk..nn.1\n']"
"överförtjust","pos",3,"överförtjust..1","['överförtjust']","av","0.75","överförtjust..av.1",330,330,"– Jag är överförtjust och hoppas vi kan prestera ännu bättre ."
"nedsatt","neg",-2,"nedsatt..1","['nedsatt', 'nersatt']","av","0.75","nersatt..av.1",26,7380,"Men de unga är numera oftare sjukskrivna och har oftare nedsatt arbetsförmåga ."
"belåten","pos",2,"belåten..1","['belåten']","av","0.75","belåten..av.1",3245,3251,"Vi har en verkningsgrad på i stort sett 100 procent , säger Hasse och låter märkbart belåten ."
"omogen","neg",-2,,,"av","0.25","omogen..av.1",2549,2571,"- Jag var väldigt omogen , det kan man lugnt säga , konstaterar Björn ."
"simpel","neg",-2,"simpel..2","['simpel']","av","1.0","simpel..av.1",4355,4395,"Han använde en mycket simpel mikrofon som gjorde att ljudet blev osynkroniserat ."
"färgstark","pos",2,,,"av","0.25","färgstark..av.1",3906,3909,"- Vi tänker inte på Olinda som traditionell programledare men hon är en färgstark person och det är definitivt läge att leta och tänka ."
"förvekliga","pos",2,,,"vb","0.25","förvekliga..vb.1",57,57,"För sju år sedan ärvde en av hans kompisar en hög pengar och använde dem till att förvekliga drömmen om en vingård ."
"bestialisk","neg",-2,,,"av","0.25","bestialisk..av.1",695,695,"Ellroys psykopat - för att använda en sliten term - skapar sig "" hjärnfilmer "" utifrån en bestialisk seriefigur kallad Skepnadsskiftaren , fast besluten att bli Den perfekte mördaren med hela USA som sitt arbetsfält , och från 1950-talets slut fram till gripandet dödar han , och dödar igen ."
"oimponerbar","pos",2,"oimponerbar..1","['oimponerbar']","av","0.75","oimponerbar..av.1",0,"None",
"exklusiv","pos",2,"exklusiv..1","['exklusiv']","av","0.5","exklusiv..av.1",11813,12032,"När sångaren Joacim Cans kallar pressen till en exklusiv smyglyssning på kommande soloplattan Beyond the gates kommer folk från hela Europa ."
"hålla sig för skratt","neg",-2,"hålla_sig_för_skratt..1","['hålla sig för skratt']","vbm","0.5","hålla_sig_för_skratt..vbm.1",225,"None","['att..ie.1', 'hålla_sig_för_skratt..vbm.1', 'vara..vb.1', 'omöjlig..av.1', '.\n']"
"ställa till rätta","pos",2,"ställa_tillrätta..1","['ställa till rätta', 'ställa tillrätta']","vbm","0.5","ställa_tillrätta..vbm.1",154,"None","['den..pn.1', 'kunna..vb.1', 'omöjlig..av.1', 'ställa_tillrätta..vbm.1', '.\n']"
"fantastisk","pos",2,"fantastisk..1","['fantastisk']","av","1.0","fantastisk..av.1",63640,63663,"af Klint är i tid strax före både Mondrian och Malevitjs sinnliga abstraktioner och är därför alldeles fantastisk ."
"oädel","neg",-2,"oädel..1","['oädel']","av","0.5","oädel..av.1",84,86,"Så är det i vart fall lätt att läsa de öppet utvecklingskritiska berättelser som utspelar sig kring jaktlag , vid gränsen mellan en allt mer tillbakaträngd natur och en oädel och expansiv kultur ."
"småsur","neg",-2,"småsur..1","['småsur']","av","0.5","småsur..av.1",147,147,"Utmanar aldrig , lyfter inte och låter till och med lite småsur ibland ."
"urtjusig","pos",3,"urtjusig..1","['urtjusig']","av","0.5","urtjusig..av.1",66,66,"Först Patrik Edgren - med en urtjusig och avgörande fullträff till 4-2 med tio minuter kvar ."
"miljöförbättrande","pos",2,"miljöförbättrande..1","['miljöförbättrande']","av","0.75","miljöförbättrande..av.1",110,143,"Älvsborgs amfibieregemente arbetar sedan flera år tillbaka aktivt med miljöförbättrande åtgärder ."
"stram","neg",-2,,,"av","0.25","stram..av.1",4312,4382,"Han var en skarpsynt analytiker och mycket korrekt , kunde uppfattas som något stram , men besatt en speciell humor av gott slag ."
"bedrövad","neg",-2,"bedrövad..1","['bedrövad']","av","1.0","bedrövad..av.1",116,1454,"En bedrövad ryska berättar att hon kommer bli kvar i Italien ett tag till och att hon inte vet när hon kan resa hem ."
"upprörd","neg",-2,,,"av","0.25","upprörd..av.1",9969,19697,"Där finns det mycket att vara upprörd över ; unga människor som luras in i något de kan få lida för resten av livet , stora ekonomiska intressen och stereotypa könsroller som reproduceras ."
"erkänna","pos",2,,,"vb","0.25","erkänna..vb.1",54079,61457,"Men att erkänna att man valt "" fel "" är en prestigeförlust ."
"helnykter","pos",2,,,"av","0.25","helnykter..av.1",160,160,"Han blev frälst och har varit helnykter i fjorton år ."
"glädjetom","pos",2,"glädjetom..1","['glädjetom']","av","0.75","glädjetom..av.1",0,"None",
"tjura","neg",-2,"tjura..1","['tjura']","vb","0.5","tjura..vb.1",348,349,"Vi får tjura i dag och sedan ta nya tag ."
"tyken","neg",-2,"tyken..1","['tyken']","av","0.5","tyken..av.1",1050,1050,"Samma sak om någon är tyken ."
"bli över","pos",2,,,"vbm","0.25","bli_över..vbm.1",3550,"None","['ha..vb.1', 'nog..ab.1', 'sy..vb.1', 'sak..nn.1', 'till..pp.1', 'denna..pn.1', 'bebis..nn.1', 'så', 'den..pn.1', 'räcka..vb.2|räcka..vb.1', 'och..kn.1', 'bli_över..vbm.1', '....\n']"
"naturskön","pos",2,"naturskön..1","['naturskön']","av","0.75","naturskön..av.1",1064,1070,"Att visa kvalificerad samtidskonst i naturskön , lantlig miljö är numera knappast något unikt fenomen i Syd- och Västsverige ."
"tala sanning","pos",2,"tala_sanning..1","['tala sanning']","vbm","0.5","tala_sanning..vbm.1",1285,"None","['Lisa..pm.1', 'gråta..vb.1', 'när..ab.1', 'hon..pn.1', 'tala..vb.1', ',', 'alltså..ab.1', 'tala_sanning..vbm.1', 'hon..pn.1', '(', 'inbilla..vb.1', 'samband..nn.1', 'mellan..pp.1', 'verbal..av.1', 'uppgift..nn.1', 'sanningshalt..nn.1', 'och..kn.1', 'gråt..nn.1', ')', '.\n']"
"obestraffad","pos",2,"obestraffad..1","['obestraffad']","av","0.5","obestraffad..av.1",15,15,"Ondskan kommer inte att gå obestraffad ."
"raljera","pos",2,"raljera..1","['raljera']","vb","0.75","raljera..vb.1",1188,1188,"Det är lätt att raljera över omvärldens handfallenhet , men i sanningens namn var alternativen få ."
"ordentlig","pos",2,"ordentlig..1","['ordentlig']","av","0.75","ordentlig..av.1",46189,46297,"– Vi vill ha en ordentlig diskussion om pensionärernas försäkringsskydd ."
"hålla på","pos",2,,,"vbm","0.25","hålla_på..vbm.1",475,"None","['lotuskotte', '-', 'en..nl.1', 'IVF', 'i..pp.1', 'feb-07', 'Lovebirds', '-', 'hålla_på..vbm.1', 'också..ab.1', 'för..pp.1', 'full..av.1', '...', 'Milås', 'och..kn.1', 'Java69', '-', 'hålla_på..vbm.1', 'för..pp.1', 'full..av.1', 'Pysen79', 'med..pp.1', 'sambo..nn.2|sambo..nn.1', '-', 'hålla_på..vbm.1', 'för..pp.1', 'full..av.1', 'Tania..pm.1', 'B..pma.1', '-', 'hålla..vb.1', 'oxå..ab.1', 'på..pp.1', 'för..pp.1', 'full..av.1', 'Underwood', '-', 'på_gång..avm.1', 'Snarf', 'm', 'sambo..nn.2|sambo..nn.1', '-', 'oxå..ab.1', 'på_gång..avm.1', 'Starlingagent+sambo', '-', 'fem..nl.1', 'ineminationen', 'på_gång..avm.1', 'i..pp.1', 'maj..nn.2|maj..nn.1', 'i..pp.1', 'Finland..pm.1', 'malincavalli', '-', 'en..nl.1', 'försök..nn.1', 'i..pp.1', 'maj..nn.2|maj..nn.1', 'Marengski', '-', 'inseminera..vb.1', '10', '/', '10', 'på..pp.1', 'akademisk..av.1', 'Michelodeon-Insemineras', 'vecka..nn.1', '48', 'i..pp.1', 'Uppsala..pm.1\n']"
"arbetsskygg","neg",-2,,,"av","0.25","arbetsskygg..av.1",172,171,"I England hamnar pjäsen hos en arbetsskygg översättare vid namn Alec , av sin cancersjuka mor ansedd som den misslyckade av hennes båda söner , varav storebror Larry i all hemlighet deklasserats från den gode doktorn i en amerikansk tv-såpa till kokainsnortande porrskådis i ett L A som aldrig sover utan att först fråga hur mycket man kan tjäna på det ."
"bäst","pos",2,"bäst..1","['bäst']","av","1.0","bäst..av.1",0,105,"Genom att på förhand specificera vad som ska observeras för att teorin ska anses giltig kan fallet ge en indikation om vilken av teorierna som bäst överensstämmer med empirin ."
"bitter","neg",-2,"bitter..2","['bitter']","av","1.0","bitter..av.1",12488,12607,"– Jag är inte bitter ."
"utveckla sig","pos",2,"utveckla_sig..1","['utveckla sig']","vbm","0.75","utveckla_sig..vbm.1",3924,"None","['en..al.1|den..pn.1', 'gammal..av.1', 'germansk..av.1', 'rätt..nn.3|rätt..nn.2|rätt..nn.1', 'vara..vb.1', '–', 'i_motsats_till..ppm.1', 'en..al.1|den..pn.1', 'romersk..av.1', ',', 'som', 'ursprungligen..ab.1', 'vara..vb.1', 'en..al.1', 'stadsrätt', '–', 'en..al.1', 'landsrätt..nn.1', ',', 'emedan..sn.1', 'hos..pp.1', 'en..al.1', 'germansk..av.1', 'folk..nn.1', 'verklig..av.1', 'rättssamhälle..nn.1', 'tidigast..ab.1|tidig..av.1', 'utveckla_sig..vbm.1', 'på..pp.1', 'land..nn.3|land..nn.2|land..nn.1', '.\n']"
"oförbittrad","pos",2,"oförbittrad..1","['oförbittrad']","av","0.5","oförbittrad..av.1",0,"None",
"traselegant","pos",2,"traselegant..1","['traselegant']","av","0.5","traselegant..av.1",0,"None",
"schematisk","pos",2,"schematisk..1","['schematisk']","av","0.5","schematisk..av.1",1455,1591,"Och vad som skulle kunna slå över i ett slags schematisk biografi med barnsliga infall håller med hjälp av sin stilistiska elegans och genomarbetade intrig kursen mot vad som snarare kan beskrivas som ett slags gestaltad vetenskapshistoria betraktad genom narrspegeln ."
"kamprydd","pos",2,"kamprydd..1","['kamprydd']","av","0.5","kamprydd..av.1",1,1,"Den där ödesdigra morgonen valde han att bli romersk katolik på grund av Rom , och på grund av Horatius och hans båda kamrater som med svärd i hand , kamprydd hjälm på huvudet och okuvligt mod i blicken försvarade bron över Tibern mot de etruskiska horderna ."
"förbaskad","neg",-2,"förbaskad..1","['förbaskad']","av","0.5","förbaskad..av.1",1858,1858,"En ensam liten lantbrevbärare har ingen makt över sakernas tillstånd , men kan i alla fall ha vett att bli förbaskad på avsändare av inkrökt mobbarpropaganda ."
"högönsklig","pos",2,"högönsklig..1","['högönsklig']","av","0.75","högönsklig..av.1",4,66,"Med tanke på alla farsartade föreställningar som spelats upp i Solna under året kunde man gott tro att stadsdelens gamla fina filmstad fortlever sina dagar i högönsklig välmåga ."
"trumpen","neg",-2,"trumpen..1","['trumpen']","av","0.5","trumpen..av.1",162,162,"En lite trumpen , men stämningsskapande skiva , som släpps med extra remix-dito ."
"engagerad","neg",-2,,,"av","0.25","engagerad..av.1",361,18373,"” Premiärminister Erdogan har sagt sig vara personligen engagerad i det fortsatta närmandet till EU ” , tillade EU-ordföranden ."
"fina fisken","pos",2,"fina_fisken..1","['fina fisken']","avm","0.75","fina_fisken..avm.1",114,"None","['räcka..vb.2|räcka..vb.1', 'den..pn.1', 'kort..nn.1', 'för..pp.1', 'TDU', 'vara..vb.1', 'en..al.1|den..pn.1', 'fina_fisken..avm.1', '.\n']"
"fri","pos",2,,,"av","0.25","fri..av.1",124997,140618,"Med vackra bostäder till de anställda , mammaledighet med full lön och fri sjukvård ville han formge "" Det goda samhället "" ."
"purken","neg",-2,"purken..1","['purken']","av","0.5","purken..av.1",62,62,"- Vi måste göra allt vi kan för att komma tillbaka i matchen , sa en något purken Falk efter två perioder ."
"plump","neg",-2,"plump..1","['plump']","av","0.5","plump..av.1",386,1151,"Kvalitetskänslan är bättre än någonsin och det längre axelavståndet märks framförallt i bättre utrymme för baksätespassagerarna – men här finns en allvarlig plump ."
"krya på sig","pos",2,"krya_på_sig..1","['krya på sig']","vbm","0.75","krya_på_sig..vbm.1",302,"None","['hoppas..vb.1|hoppa..vb.1', 'all..pn.1', 'sjukling..nn.1', 'krya_på_sig..vbm.1', '-', 'här..ab.1', 'ha..vb.1', 'vi..pn.1', 'just..av.1|just..ab.1', 'äta..vb.1', 'lunch..nn.1', ',', 'mamma..nn.1', 'korvgryta..nn.1', '.\n']"
"vinna","pos",2,"vinna..1","['vinna']","vb","0.75","vinna..vb.1",349016,353645,"Bröndby med Mattias Jonson har större chans att vinna ligan - två poäng efter ledande Köpenhamn ."
"jätteschyst","pos",3,"jätteschyst..1","['jätteschyst']","av","0.75","jätteschyst..av.1",8,8,"Det känns jätteschyst att pröva på hur det är ..."
"förföra","pos",2,,,"vb","0.25","förföra..vb.1",2477,2569,"Zuckerman orkar inte längre konkurrera med människosläktets unga alfahannar och kvinnorna kan han varken hjälpa eller förföra ."
"förskylla","pos",2,"förskylla..2","['förskylla']","vb","0.5","förskylla..vb.1",62,65,"['om..sn.1', 'dagsbot..nn.1', 'följa..vb.1', 'på..pp.1', 'brott..nn.2|brott..nn.1', 'få..vb.1', 'strafföreläggande..nn.1', 'utfärda..vb.1', 'endast..ab.1', 'när..ab.1', 'brott..nn.2|brott..nn.1', 'ensam..av.1', ',', 'eller..kn.1', 'tillsammans..ab.1', 'med..pp.1', 'annan..pn.1', 'brott..nn.2|brott..nn.1', ',', 'förskylla..vb.1', 'högst..ab.1', '60', 'dagsböter.1238', 'möjlighet..nn.1', 'att..sn.1', 'utfärda..vb.1', 'strafföreläggande..nn.1', 'för..pp.1', 'brott..nn.2|brott..nn.1', 'med..pp.1', 'fängelse..nn.1', 'i..pp.1', 'straffskala..nn.1', 'vara..vb.1', 'därmed..ab.1', 'inte..ab.1', 'lång..av.1|längre..ab.1|länge..ab.1', 'begränsad..av.1|begränsa..vb.1', 'till..pp.1', 'viss..av.1', 'särskilt..ab.1|särskild..av.1', 'ange..vb.1', 'brott..nn.2|brott..nn.1', '.\n']"
"välsittande","pos",2,"välsittande..1","['välsittande']","av","0.5","välsittande..av.1",159,159,"En välsittande sko ska sluta tätt om ankeln , men ändå lämna lite "" vickrum "" för tårna ."
"obegråten","pos",2,"obegråten..1","['obegråten']","av","0.5","obegråten..av.1",1,1,"Gudarna straffade Ta-jin med en plågsam sjukdom med vilken han gick i graven , obegråten och utan väenner , men av medkänsla med Koong-se och Chang lät de förvandla de älskade till två odödliga duvor , symbolen för en trofasthet som ger skönhet i livet och oskiljatighet i döden ."
"fägna","pos",2,"fägna..1","['fägna']","vb","0.75","fägna..vb.1",37,38,"De förromantiska föreställningarna om en sublim konst som inte blott har till uppgift att undervisa sin publik i god moral , eller fägna densamma en kort stund , bjuder in precis den individualitet och mystiska skönhet som Nehamas ser i ” Olympia ” ."
"intakt","pos",2,"intakt..1","['intakt']","av","0.75","intakt..av.1",4118,4182,"Under förutsättning att patienten är vid medvetande , att törstcentrum är intakt och att patienten har fri tillgång till vätska uppvisar dessa patienter inga elektrolytrubbningar ."
"smickrad","pos",2,"smickrad..1","['smickrad']","av","0.5","smickrad..av.1",2,803,"Den skäggige norrmannen från östra Oslo blir glad , smickrad och förlägen ."
"kontagiös","neg",-2,"kontagiös..1","['kontagiös']","av","0.5","kontagiös..av.1",7,7,"Med miasma uppfattades sjukdomar som ” moln ” som man av olyckliga anledningar kunde råka gå in i . Miasmateorin dominerade men parallellt fanns också en ” kontagiös ” teori om att sjukdomar smittade från människa till människa , om än oklart hur ."
"trösta","pos",2,"trösta..1","['trösta']","vb","0.5","trösta..vb.1",5178,7699,"Det är en cynism utan like att försöka ” trösta ” gamla egnahemssparare med att de kan ( ska ? )"
"antiseptisk","neg",-2,,,"av","0.25","antiseptisk..av.1",184,186,"Han utskriven med två tuber antiseptisk salva ."
"solbada","pos",2,,,"vb","0.25","solbada..vb.1",186,187,"Den som vill solbada stannar ofta ombord ."
"hel","pos",2,"hel..2","['hel']","av","1.0","hel..av.1",1004183,1221806,"Numera är han väl inläst på olika länders kulturer och han har lärt sig en hel del ."
"pynta","pos",2,"pynta..1","['pynta']","vb","0.5","pynta..vb.1",1191,1193,"Sed från fastlagen * Seden att pynta ris kommer från fastlagen ( söndag , måndag och fettisdag ) som inledde den fyrtio dagar långa fastan före påsken ."
"enahanda","neg",-2,"enahanda..1","['enahanda']","av","0.5","enahanda..av.1",1187,1212,"Och visst är det för enahanda , tonerna för snarare tanken till en brandbil än till musik ."
"skojig","pos",2,"skojig..1","['skojig']","av","0.75","skojig..av.1",1985,1988,"Det var en skojig box , enligt Nick ."
"allena saliggörande","pos",2,"allena_saliggörande..1","['allena saliggörande']","avm","0.75","allena_saliggörande..avm.1",95,"None","['utvecklande..nn.1', 'av..pp.1', 'sån..pn.1', 'multimediaprogram', 'böra..vb.1', 'ha..vb.1', 'hög..av.1', 'prioritet..nn.1', ',', 'samtidig..av.1', 'som..ab.1', 'man..pn.1', 'skola..vb.2', 'hålla_i_minnet..vbm.1', 'att..sn.1', 'interaktiv..av.1', 'hälsokommunikation', 'inte..ab.1', 'vara..vb.1', 'den..pn.1', 'allena_saliggörande..avm.1', ',', 'utan..kn.1', 'endast..ab.1', 'en..al.1', 'av..pp.1', 'många', 'strategi..nn.1', '.\n']"
"gå bra","pos",2,"gå_bra..1","['gå bra']","vbm","0.5","gå_bra..vbm.1",56246,"None","['tack..nn.1', 'för..pp.1', 'gratulation..nn.1', ',', 'den..pn.1', 'kännas..vb.1|känna..vb.2|känna..vb.1', 'fantastisk..av.1', 'att..sn.1', 'all..pn.1', 'gå_bra..vbm.1', 'såhär..ab.1', '!\n']"
"uppriktig","pos",2,"uppriktig..1","['uppriktig']","av","0.5","uppriktig..av.1",3959,4490,""" Honest Bill "" är lika paranoid som sina paranoida skapelser , men åtminstone uppriktig på så vis att han som postmodernistisk zenmästare ständigt underminerar sin egen auktoritet och därmed alla andra som gör anspråk på en eller annan form av auktoritet ."
"arm","neg",-2,,,"av","0.25","arm..av.1",1570,39551,"Avrättningen i San Quentin-fängelset försenades av problem med att hitta en ven för en av injektionsnålarna , i hans vänstra arm , rapporterade Reuters ."
"dan","neg",-2,"dan..1","['dan', 'dann']","av","1.0","dann..av.1",342,16,"Gabriel Hjertstedt kom hem från USA och floppade : 74 första dan , 76 i går , sex över par totalt ."
"anpassa","pos",2,"anpassa..1","['anpassa']","vb","0.5","anpassa..vb.1",27560,41496,"Malmö : Svenska flygplatser behöver mer tid för att anpassa sig till EU : s nya säkerhetskrav som börjar gälla den 19 juli ."
"hemtrevlig","pos",2,"hemtrevlig..1","['hemtrevlig']","av","0.75","hemtrevlig..av.1",929,930,"Mysig och hemtrevlig miljö ."
"flashig","pos",2,"flashig..1","['flashig']","av","0.5","flashig..av.1",673,673,"Har du hört krav eller önskemål att du ska bli mer flashig ?"
"renlig","pos",2,"renlig..1","['renlig']","av","0.75","renlig..av.1",114,114,"Barbequeborsten i silicon är appliceringsvänlig , tålig och renlig ."
"uppmärksammad","pos",2,,,"av","0.25","uppmärksammad..av.1",15,21496,"– Men det är svårt när det gäller en så massmedialt uppmärksammad person ."
"schematisera","neg",-2,,,"vb","0.25","schematisera..vb.1",70,75,"Bådas bidrag är försök att schematisera rörelser ; han på spårvagnen , hon på badplatsen ."
