word,original_word,foundation,vice_virtue
fördomsfri,unprejudiced,fairness,virtue
domare,justices,fairness,virtue
lagar,laws,fairness,virtue
domstolar,tribunals,fairness,virtue
vedergällning,retribution,fairness,virtue
gottgörelse,reparation,fairness,virtue
lagligt,lawfully,fairness,virtue
laglig,lawful,fairness,virtue
ärliga,honest,fairness,virtue
ersättning,compensation,fairness,virtue
advokater,lawyers,fairness,virtue
idrott,sportsmanship,fairness,virtue
domstol,tribunal,fairness,virtue
advokat,lawyer,fairness,virtue
proportionell,proportional,fairness,virtue
rättvisa,equity,fairness,virtue
lagstiftning,lawyering,fairness,virtue
förtroende,trust,fairness,virtue
ömsesidig,reciprocal,fairness,virtue
berättigande,justification,fairness,virtue
trovärdighet,trustworthiness,fairness,virtue
opartisk,unbiased,fairness,virtue
hämnd,vengeance,fairness,virtue
hämnd,revenge,fairness,virtue
återbetalningar,retributions,fairness,virtue
är lika med,equals,fairness,virtue
utjämna,equalize,fairness,virtue
domare,refereeing,fairness,virtue
återbetalning,restitution,fairness,virtue
kompenserande,compensating,fairness,virtue
motiverat,justified,fairness,virtue
motiverar,justifies,fairness,virtue
hämnd,retaliation,fairness,virtue
advokat,lawyered,fairness,virtue
kompenseras,compensated,fairness,virtue
domare,referees,fairness,virtue
karma,karma,fairness,virtue
hämnare,avenger,fairness,virtue
litar på,trusting,fairness,virtue
avengers,avengers,fairness,virtue
litar på,trusts,fairness,virtue
kompensera,compensate,fairness,virtue
pålitlig,trustworthy,fairness,virtue
hämnas,retaliate,fairness,virtue
återbetalning,repayment,fairness,virtue
hämnd,payback,fairness,virtue
aktier,equities,fairness,virtue
rättfärdiga,justify,fairness,virtue
avgifter,dues,fairness,virtue
domare,referee,fairness,virtue
återbetalas,repaid,fairness,virtue
utjämnare,equalizer,fairness,virtue
återbetala,repay,fairness,virtue
kompenserar,compensates,fairness,virtue
motiverar,justifying,fairness,virtue
återbetalningar,repayments,fairness,virtue
återbetalning,repaying,fairness,virtue
vedergällning,retaliating,fairness,virtue
svarade,retaliated,fairness,virtue
domare,refereed,fairness,virtue
hämnare,revenger,fairness,virtue
hämnas,avenging,fairness,virtue
återbetalar,repays,fairness,virtue
betrodd,trusted,fairness,virtue
hämnas,avenge,fairness,virtue
vedergäller,retaliates,fairness,virtue
utjämnare,equalizers,fairness,virtue
hämnd,avenged,fairness,virtue
hämnas,avenges,fairness,virtue
fuska,cheat,fairness,vice
orättvis,unfair,fairness,vice
fusk,cheating,fairness,vice
orättvisa,unfairness,fairness,vice
orättvisa,injustice,fairness,vice
bedrägeri,fraud,fairness,vice
oärlig,dishonest,fairness,vice
orättvis,unjust,fairness,vice
lurad,cheated,fairness,vice
bedräglig,fraudulent,fairness,vice
fusk,cheats,fairness,vice
bedrägerier,frauds,fairness,vice
oärlighet,dishonesty,fairness,vice
fuskare,cheaters,fairness,vice
bedrägeri,deception,fairness,vice
orättvisa,injustices,fairness,vice
lura,swindle,fairness,vice
orättvisa,inequity,fairness,vice
hyckleri,hypocrisy,fairness,vice
diskriminering,discrimination,fairness,vice
olika,unequal,fairness,vice
fuskare,cheater,fairness,vice
ojämlikhet,inequities,fairness,vice
bedra,defraud,fairness,vice
rasism,racism,fairness,vice
lurendrejeri,scam,fairness,vice
lögnare,liar,fairness,vice
bedrägerier,defrauds,fairness,vice
svek,betrayal,fairness,vice
svek,deceit,fairness,vice
bedrägerier,defrauded,fairness,vice
olikhet,inequality,fairness,vice
lögnare,liars,fairness,vice
bedragare,defrauders,fairness,vice
hycklare,hypocrite,fairness,vice
partisk,biased,fairness,vice
ripoffs,ripoffs,fairness,vice
bedrägerier,scams,fairness,vice
fläckande,fleecing,fairness,vice
bedragare,defrauder,fairness,vice
diskriminerar,discriminates,fairness,vice
vilseleda,mislead,fairness,vice
ojämlikheter,inequalities,fairness,vice
fördomar,prejudice,fairness,vice
flög,fleeced,fairness,vice
bedrägeri,defrauding,fairness,vice
ripoff,ripoff,fairness,vice
bedrägerier,scamming,fairness,vice
bedragare,imposters,fairness,vice
utnyttjande,exploitation,fairness,vice
utnyttjande,exploitation,fairness,vice
krokig,crooked,fairness,vice
förtrycka,oppress,fairness,vice
förtrycka,oppress,fairness,vice
rasist,racist,fairness,vice
förtryck,oppression,fairness,vice
bedragare,imposter,fairness,vice
lurade,swindled,fairness,vice
hycklare,hypocrites,fairness,vice
plagiat,plagiarism,fairness,vice
ljög,lied,fairness,vice
otillförlitlighet,untrustworthiness,fairness,vice
lura,hoodwink,fairness,vice
lurad,scammed,fairness,vice
utpressning,blackmail,fairness,vice
bilks,bilks,fairness,vice
svindlande,swindling,fairness,vice
svikit,betrayed,fairness,vice
svikit,betrayed,fairness,vice
partiskhet,bias,fairness,vice
känna igen,connive,fairness,vice
skurkar,crooks,fairness,vice
lura,deceive,fairness,vice
friladdare,freeloaders,fairness,vice
favorisering,favoritism,fairness,vice
skillnad,disparity,fairness,vice
svindlar,swindles,fairness,vice
lurad,deceived,fairness,vice
exploaterare,exploiters,fairness,vice
exploaterare,exploiters,fairness,vice
vilseledande,misleading,fairness,vice
diskriminerad,discriminated,fairness,vice
bilked,bilked,fairness,vice
bedra,deceiving,fairness,vice
opålitlig,untrustworthy,fairness,vice
fördomsfull,prejudiced,fairness,vice
bedragare,scammers,fairness,vice
svindlare,swindler,fairness,vice
stöld,theft,fairness,vice
dubbel,duplicitous,fairness,vice
hoodwinked,hoodwinked,fairness,vice
bigott,bigoted,fairness,vice
sexism,sexism,fairness,vice
oproportionerlig,disproportionate,fairness,vice
bedragare,swindlers,fairness,vice
diskriminera,discriminate,fairness,vice
medvetande,conniving,fairness,vice
sexistiska,sexist,fairness,vice
förråda,betraying,fairness,vice
förråda,betraying,fairness,vice
hoodwinking,hoodwinking,fairness,vice
partiskhet,partiality,fairness,vice
vilseleder,misleads,fairness,vice
disproportion,disproportion,fairness,vice
exploaterare,exploiter,fairness,vice
exploaterare,exploiter,fairness,vice
bilk,bilk,fairness,vice
fördomar,biases,fairness,vice
fördjupare,bigots,fairness,vice
misstro,distrust,fairness,vice
dupera,dupe,fairness,vice
skurk,crook,fairness,vice
rasister,racists,fairness,vice
bilking,bilking,fairness,vice
utpressning,blackmailing,fairness,vice
bedrar,deceives,fairness,vice
förrådare,betrayers,fairness,vice
förrådare,betrayers,fairness,vice
bedragare,deceiver,fairness,vice
utpressad,blackmailed,fairness,vice
duperande,duping,fairness,vice
blyg,shyster,fairness,vice
anslutare,connivers,fairness,vice
obalanserad,imbalanced,fairness,vice
sexister,sexists,fairness,vice
tjuv,thieving,fairness,vice
förråda,betray,fairness,vice
förråda,betray,fairness,vice
obalans,imbalance,fairness,vice
oproportioner,disproportions,fairness,vice
oproportionerligt,disproportionately,fairness,vice
snyltare,freeloader,fairness,vice
vilseledare,misleaders,fairness,vice
medvetet,connived,fairness,vice
shysters,shysters,fairness,vice
bedragare,scammer,fairness,vice
ansluter,connives,fairness,vice
conniver,conniver,fairness,vice
missgynnade,disadvantaged,fairness,vice
plagiat,plagiaristic,fairness,vice
moocher,moocher,fairness,vice
dupes,dupes,fairness,vice
särskiljande,discriminating,fairness,vice
lurad,tricked,fairness,vice
segregation,segregation,fairness,vice
tjuv,thief,fairness,vice
förrädare,betrayer,fairness,vice
förrädare,betrayer,fairness,vice
trångsynt,bigot,fairness,vice
utnyttjar,exploiting,fairness,vice
utnyttjar,exploiting,fairness,vice
liggande,lying,fairness,vice
tjuvar,thieves,fairness,vice
stjäla,stealing,fairness,vice
suger,suckered,fairness,vice
bedragare,deceivers,fairness,vice
bambujled,bamboozled,fairness,vice
frilastning,freeload,fairness,vice
bambu,bamboozle,fairness,vice
frilastning,freeloading,fairness,vice
stjäla,steal,fairness,vice
ficktjuv,pickpocketing,fairness,vice
utpressare,blackmailer,fairness,vice
fördomar,prejudicing,fairness,vice
chauvinister,chauvinists,fairness,vice
utnyttja,exploit,fairness,vice
utnyttja,exploit,fairness,vice
missledare,misleader,fairness,vice
hoodwinks,hoodwinks,fairness,vice
obalanser,imbalances,fairness,vice
ficktjuv,pickpocketed,fairness,vice
utnyttjas,exploited,fairness,vice
utnyttjas,exploited,fairness,vice
fickor,pickpockets,fairness,vice
bamboozles,bamboozles,fairness,vice
lurar,tricking,fairness,vice
ficktjuv,pickpocket,fairness,vice
förspänning,biasing,fairness,vice
bambusling,bamboozling,fairness,vice
robs,robs,fairness,vice
moochers,moochers,fairness,vice
förråder,betrays,fairness,vice
förråder,betrays,fairness,vice
rånande,robbing,fairness,vice
utpressningar,blackmails,fairness,vice
utpressare,blackmailers,fairness,vice
stulen,stolen,fairness,vice
misstänksam,distrustful,fairness,vice
mooches,mooches,fairness,vice
oproportionerat,disproportioned,fairness,vice
mooching,mooching,fairness,vice
segregerad,segregated,fairness,vice
rånade,robbed,fairness,vice
vilseledande,misleadingly,fairness,vice
segregerande,segregating,fairness,vice
stola,stole,fairness,vice
utnyttjar,exploits,fairness,vice
utnyttjar,exploits,fairness,vice
misstroar,distrusts,fairness,vice
mooch,mooch,fairness,vice
segregera,segregate,fairness,vice
rånare,robbers,fairness,vice
misstroende,distrusted,fairness,vice
misstroende,distrusting,fairness,vice
rånare,robber,fairness,vice
segregerar,segregates,fairness,vice
skojare,trickster,fairness,vice
mooched,mooched,fairness,vice
bedrägligt,deceivingly,fairness,vice
stjäl,steals,fairness,vice
oöverträffad,unequaled,fairness,vice
spelare,player,loyalty,virtue
patriot,patriot,loyalty,virtue
lojala,loyal,loyalty,virtue
lojalitet,loyalty,loyalty,virtue
patrioter,patriots,loyalty,virtue
efterföljare,follower,loyalty,virtue
trohet,fidelity,loyalty,virtue
trohet,allegiance,loyalty,virtue
trohet,allegiance,loyalty,virtue
alliera,ally,loyalty,virtue
kamrat,comrade,loyalty,virtue
lojaliteter,loyalties,loyalty,virtue
fraktion,faction,loyalty,virtue
kamrater,comrades,loyalty,virtue
troskap,allegiances,loyalty,virtue
troskap,allegiances,loyalty,virtue
offra,sacrifice,loyalty,virtue
allierade,allies,loyalty,virtue
organisation,organization,loyalty,virtue
anhängare,followers,loyalty,virtue
offer,sacrifices,loyalty,virtue
kamratskap,camaraderie,loyalty,virtue
kamratskap,comradery,loyalty,virtue
kompis,fellow,loyalty,virtue
familj,family,loyalty,virtue
lojal,allegiant,loyalty,virtue
lojal,allegiant,loyalty,virtue
kår,corps,loyalty,virtue
enhet,unity,loyalty,virtue
uniter,uniter,loyalty,virtue
följeslagare,companions,loyalty,virtue
land,country,loyalty,virtue
följeslagare,companion,loyalty,virtue
hemland,homeland,loyalty,virtue
offra,sacrificing,loyalty,virtue
odelbar,indivisible,loyalty,virtue
offras,sacrificed,loyalty,virtue
solidaritet,solidarity,loyalty,virtue
trupper,troops,loyalty,virtue
nation,nation,loyalty,virtue
kult,cult,loyalty,virtue
släktskap,kinship,loyalty,virtue
kamratskap,companionship,loyalty,virtue
klick,clique,loyalty,virtue
allierad,allied,loyalty,virtue
gemenskap,community,loyalty,virtue
grupp,group,loyalty,virtue
fraktioner,factions,loyalty,virtue
förtrogenhet,familiarity,loyalty,virtue
solidariteter,solidarities,loyalty,virtue
värva,enlist,loyalty,virtue
sällskap,companionships,loyalty,virtue
fru,wife,loyalty,virtue
förenad,united,loyalty,virtue
tillhör,belongs,loyalty,virtue
församling,congregation,loyalty,virtue
klan,clan,loyalty,virtue
trooper,trooper,loyalty,virtue
sekt,sect,loyalty,virtue
anställd,enlisted,loyalty,virtue
värvning,enlistment,loyalty,virtue
tribalism,tribalism,loyalty,virtue
kohorter,cohorts,loyalty,virtue
krig,war,loyalty,virtue
sammanfogning,joining,loyalty,virtue
trupp,troop,loyalty,virtue
offer-,sacrificial,loyalty,virtue
koalition,coalition,loyalty,virtue
insider,insider,loyalty,virtue
lova,pledge,loyalty,virtue
kohort,cohort,loyalty,virtue
anställa,enlisting,loyalty,virtue
förena,unite,loyalty,virtue
gemenskap,communion,loyalty,virtue
gemenskap,communion,loyalty,virtue
bekanta,familiarities,loyalty,virtue
tillhöra,belong,loyalty,virtue
i grupp,ingroup,loyalty,virtue
tillhörde,belonged,loyalty,virtue
företag,company,loyalty,virtue
kollektiv,collective,loyalty,virtue
kamrater,fellows,loyalty,virtue
klick,cliques,loyalty,virtue
enande,uniting,loyalty,virtue
klaner,clans,loyalty,virtue
hazing,hazing,loyalty,virtue
samlas,congregates,loyalty,virtue
besättning,herd,loyalty,virtue
sekter,sects,loyalty,virtue
uniters,uniters,loyalty,virtue
odelad,undivided,loyalty,virtue
förenas,unites,loyalty,virtue
